Month (YYYY-MM)	PPI Index (dimensionless)
2025-07	263.996
2025-08	264.517
2025-09	264.517
2025-10	264.663
2025-11	265.010
2025-12	264.996
2026-01	279.239
2026-02	283.515
2026-03	291.404
2026-04	290.907
2026-05	292.239
2026-06	294.165
2026-07	294.607
2026-08	295.05
2026-09	295.60
2026-10	296.06
2026-11	296.30
2026-12	296.28
2027-01	305.64
2027-02	307.70
2027-03	310.72
2027-04	315.24
2027-05	316.04
2027-06	317.08
2027-07	317.36
2027-08	317.82
2027-09	318.15
2027-10	318.48
2027-11	319.20
2027-12	319.30
