Part Number	Tier 1	Weight (lbs)	Current Price ($)
Aug 2026
09-0052-003	NA	3.6	$47.09 
10-003-293	NA	16.25	$409.81 
1224-1076	NA	33	$1,233.07 
1224-1077	NA	37	$1,528.92 
2190-1015	NA	7	$89.97 
2190-1219	NA	6.34	$101.67 
2190-1263	NA	60	$936.81 
2190-1287	NA	3.9	$59.17 
2190-1292	NA	12.3	$193.66 
2190-1300	NA	96	$2,359.31 
2190-1434	NA	59	$758.54 
2190-1662	NA	7.36	$200.37 
2190-1728	NA	5.9	$281.23 
2190-1729	NA	3.7	$182.09 
221134	NA	0.3	$46.12 
221136	NA	7.2	$193.13 
221227	NA	2.75	$106.37 
221229	NA	7.85	$166.60 
221700	NA	2.4	$344.06 
221704	NA	3.77	$266.25 
221721	NA	2.11	$108.41 
2389-057	NA	3.45	$51.82 
2389-063	NA	4.28	$65.52 
2415-529	NA	2.2	$64.64 
2426-539	NA	28.6	$523.80 
2428-015	NA	4.1	$253.14 
2488-037	NA	1	$40.53 
2489-067	NA	3.75	$202.29 
2489-089	NA	9.57	$251.84 
2508-723	NA	5.22	$107.45 
2510-027	NA	17.6	$448.58 
2513-301	NA	15	$299.02 
2513-302	NA	17.13	$308.90 
2525-015	NA	1.88	$107.51 
2526-707	NA	18.23	$673.36 
2529-023	NA	9.4	$257.31 
2529-031	NA	8.95	$160.68 
2529-033	NA	5.5	$127.04 
2529-039	NA	19.25	$486.93 
2548-023	NA	0.44	$9.49 
2563-016	NA	8.79	$213.23 
2568-019	NA	13.8	$248.73 
2582-025	NA	3.22	$106.32 
2582-027	NA	20.1	$455.78 
2582-029	NA	20.85	$436.28 
2582-043	NA	4.46	$82.95 
2603-309	NA	10	$305.53 
2603-313	NA	13.36	$240.15 
2605-001	NA	72	$855.24 
2605-003	NA	103.6	$1,355.79 
2613-108	NA	16.5	$278.27 
2627-010	NA	31.78	$462.12 
2628-015	NA	13.54	$220.03 
2629-021	NA	32.36	$555.07 
2629-023	NA	49	$731.05 
3550-1873	NA	32.9	$1,095.96 
3550-1874	NA	17.86	$842.66 
3550-1981	NA	9.55	$219.92 
3550-2207	NA	7.8	$290.32 
3600-2640	NA	3.5	$247.76 
3600-2978	NA	4.1	$876.87 
4034-1000	NA	16.25	$313.70 
4034-1003	NA	18.68	$346.85 
4034-1463	NA	16.25	$1,181.12 
4034-1486 Rev.A	NA	3.85	$107.75 
4034-1569	NA	18.68	$350.71 
4034-2065	NA	3.9	$119.18 
4034-2201	NA	4.6	$251.14 
4034-2202	NA	4.6	$359.22 
4034-2306	NA	4.6	$341.30 
4034-2509	NA	4.6	$816.75 
4034-2621	NA	21.5	$2,375.49 
4034-2632	NA	25.6	$2,154.46 
4166-845	NA	16.25	$313.97 
2415-537	A&L Machining	3.25	$80.08 
221240	General Machine	0.46	$11.95 
2403-719	General Machine	0.78	$20.20 
2489-073	General Machine	5.94	$111.72 
2503-729	General Machine	2.15	$74.84 
2190-1205	Kadon Aerospace	2.7	$85.93 
2190-1206	Kadon Aerospace	6.31	$170.90 
221023	Kadon Aerospace	0.3	$14.37 
221134	Kadon Aerospace	0.3	$46.12 
221235	Kadon Aerospace	1.98	$82.97 
221280	Kadon Aerospace	1.92	$31.34 
221439	Kadon Aerospace	0.91	$21.26 
221504	Kadon Aerospace	0.93	$104.85 
221727	Kadon Aerospace	1.17	$105.53 
2389-027	Kadon Aerospace	0.61	$18.61 
2403-112	Kadon Aerospace	0.64	$39.26 
2403-761	Kadon Aerospace	1.38	$32.45 
2415-529	Kadon Aerospace	2.21	$64.65 
2489-017	Kadon Aerospace	2.52	$70.39 
2489-061	Kadon Aerospace	1.88	$70.93 
2489-069	Kadon Aerospace	1.66	$31.78 
2503-720	Kadon Aerospace	5	$115.55 
2563-018	Kadon Aerospace	6	$144.29 
2582-023	Kadon Aerospace	5.4	$129.75 
2190-1303	Point Precision Inc.	25.16	$370.91 
2503-737	Prince Industries	4.3	$84.10 
2600-004	Prince Industries	16	$250.64 
DYNC 1192-900	Prince Industries	9.14	$158.44 
2190-1125	QCC, LLC	13.1	$324.45 
2190-1236	QCC, LLC	38	$588.94 
2190-1263	QCC, LLC	60	$936.81 
2190-1287	QCC, LLC	3.9	$59.17 
2190-1316	QCC, LLC	14.7	$208.10 
221219	QCC, LLC	7.85	$166.60 
221503	QCC, LLC	4.98	$109.81 
2415-531	QCC, LLC	1.6	$37.24 
2448-057	QCC, LLC	0.15	$10.05 
2510-027	QCC, LLC	17.6	$448.58 
2525-031	QCC, LLC	9.5	$162.88 
2626-004	QCC, LLC	15.1	$310.53 
2526-707	QCC, LLC	18.23	$673.36 
09-0052-003	QCC, LLC	3.6	$47.09 
2190-1015	QCC, LLC	7	$89.97 
2190-1444	QCC, LLC	151	$1,958.05 
2190-1699	QCC, LLC	63.2	$843.59 
2389-051	QCC, LLC	3.2	$254.83 
2190-1302	SMI Aerospace	33.53	$651.92 
221228	SMI Aerospace	3.4	$78.65 
2190-1077	ACME Industrial	28.29	$378.48 
2190-1641	ACME Industrial	10.85	$172.58 
2190-1642	ACME Industrial	15.8	$281.99 
2190-1405	ACME Industrial	37.08	$494.29 
2190-1479	ACME Industrial	146	$2,126.46 
2190-1303	Mallory Industries	25.16	$408.03 
